company|weight|sector|peer|value
A: Agilent Technologies|0.0009|Health Care|A: Agilent Technologies|1.0000001
A: Agilent Technologies|0.0009|Health Care|AVTR: Avantor|0.5318562
A: Agilent Technologies|0.0009|Health Care|CAH: Cardinal Health Inc|0.5114746
A: Agilent Technologies|0.0009|Health Care|ILMN: Illumina Inc|0.6301377
A: Agilent Technologies|0.0009|Health Care|LH: Laboratory Corp Of America Holdings|0.5723533
A: Agilent Technologies|0.0009|Health Care|LMNX: Luminex Corp |0.5022152
A: Agilent Technologies|0.0009|Health Care|MTD: Mettler-Toledo International|0.5082849
A: Agilent Technologies|0.0009|Health Care|PKI: PerkinElmer Inc|0.71668684
A: Agilent Technologies|0.0009|Health Care|QGEN: Qiagen NV|0.71939325
A: Agilent Technologies|0.0009|Health Care|TECH: Bio-Techne Corp|0.74541616
A: Agilent Technologies|0.0009|Health Care|TMO: Thermo Fisher Scientific Inc|0.7749788
A: Agilent Technologies|0.0009|Health Care|TXG: 10x Genomics Inc|0.74901676
A: Agilent Technologies|0.0009|Health Care|VCYT: Veracyte|0.55171484
AA: ALCOA CORP|0.0001|Materials|AA: ALCOA CORP|1.0
AA: ALCOA CORP|0.0001|Materials|BLL: Ball Corp|0.55178267
AA: ALCOA CORP|0.0001|Materials|HWM: Arconic Inc.|0.81556404
AA: ALCOA CORP|0.0001|Materials|RS: Reliance Steel And Aluminum Co|0.6919436
AAL: American Airlines Group|0.0002|Industrials|AAL: American Airlines Group|1.0000002
AAL: American Airlines Group|0.0002|Industrials|BA: Boeing Co|0.92314696
AAL: American Airlines Group|0.0002|Industrials|DAL: Delta Air Lines Inc (DE)|0.7371828
AAL: American Airlines Group|0.0002|Industrials|GE: General Electric Co|0.52301836
AAL: American Airlines Group|0.0002|Industrials|LUV: Southwest Airlines Co|0.93712455
AAL: American Airlines Group|0.0002|Industrials|SABR: Sabre Corp|0.54817545
AAL: American Airlines Group|0.0002|Industrials|SPR: Spirit AeroSystems Holdings Inc|0.87988645
AAL: American Airlines Group|0.0002|Industrials|TXT: Textron Inc|0.69118816
AAL: American Airlines Group|0.0002|Industrials|VSAT: Viasat Inc|0.57928574
AAON: Aaon Inc|0.0001|Industrials|AAON: Aaon Inc|1.0
AAON: Aaon Inc|0.0001|Industrials|AOS: AO Smith Corp.|0.54713446
AAON: Aaon Inc|0.0001|Industrials|AWK: American Water Works|0.54326415
AAON: Aaon Inc|0.0001|Industrials|ESE: Esco Technologies Inc|0.5132555
AAON: Aaon Inc|0.0001|Industrials|FELE: Franklin Electric Co Inc|0.67243695
AAON: Aaon Inc|0.0001|Industrials|PRMW: Cott Corp|0.50495124
AAON: Aaon Inc|0.0001|Industrials|ROL: Rollins Inc|0.54201096
AAON: Aaon Inc|0.0001|Industrials|SJW: SJW Corp|0.54627305
AAP: Advance Auto Parts Inc|0.0003|Consumer Discretionary|AAP: Advance Auto Parts Inc|0.9999999
AAP: Advance Auto Parts Inc|0.0003|Consumer Discretionary|AZO: AutoZone, Inc.|0.8376364
AAP: Advance Auto Parts Inc|0.0003|Consumer Discretionary|FND: Floor & Decor Holdings|0.76248825
